Input	Output	Path	Weight	Distance
Variant OnDeck	Ensembl_ANNOVAR annot	Variant OnDeck->Ensembl_ANNOVAR annot	1	
Variant OnDeck	Ensembl_Annot Feat	Variant OnDeck->Ensembl_Annot Feat	1	
Variant OnDeck	Ensembl_Gene	Variant OnDeck->Ensembl_Gene	1	
Variant OnDeck	ANNOVAR annot	Variant OnDeck->ANNOVAR annot	1	
Variant OnDeck	Annot Feat	Variant OnDeck->Annot Feat	1	
Variant OnDeck	Gene	Variant OnDeck->Gene	1	
Variant OnDeck	Gene Ori	Variant OnDeck->Gene Ori	1	
Variant OnDeck	ProtPos	Variant OnDeck->ProtPos	1	
Variant OnDeck	siftv63	Variant OnDeck->siftv63	1	
Variant OnDeck	Provean_v1_1	Variant OnDeck->Provean_v1_1	1	
Variant OnDeck	ljb_pp2	Variant OnDeck->ljb_pp2	1	
Variant OnDeck	omimGene	Variant OnDeck->omimGene	1	
Variant OnDeck	snp138	Variant OnDeck->snp138	1	
Variant OnDeck	ljb26_mt	Variant OnDeck->ljb26_mt	1	
Variant OnDeck	hapmap_3_3	Variant OnDeck->hapmap_3_3	1	
Variant OnDeck	gwasCatalog	Variant OnDeck->gwasCatalog	1	
Variant OnDeck	1000gALL_sites_2012_04	Variant OnDeck->1000gALL_sites_2012_04	1	
Variant OnDeck	1000gALL_sites_2014_09	Variant OnDeck->1000gALL_sites_2014_09	1	
Variant OnDeck	tassdb	Variant OnDeck->tassdb	1	
Variant OnDeck	cg69	Variant OnDeck->cg69	1	
Variant OnDeck	rptMask	Variant OnDeck->rptMask	1	
Variant OnDeck	genomicSuperDups	Variant OnDeck->genomicSuperDups	1	
Variant OnDeck	trf	Variant OnDeck->trf	1	
Variant OnDeck	prosite_domains	Variant OnDeck->prosite_domains	1	
Variant OnDeck	nonB	Variant OnDeck->nonB	1	
Variant OnDeck	SomamiR	Variant OnDeck->SomamiR	1	
Variant OnDeck	lncipedia	Variant OnDeck->lncipedia	1	
Variant OnDeck	VISTA_enhancer_expr_data	Variant OnDeck->VISTA_enhancer_expr_data	1	
Variant OnDeck	wgRna	Variant OnDeck->wgRna	1	
Variant OnDeck	tfbsConsSites	Variant OnDeck->tfbsConsSites	1	
Variant OnDeck	lincRNA	Variant OnDeck->lincRNA	1	
Variant OnDeck	HMDD	Variant OnDeck->HMDD	1	
Variant OnDeck	microPIR_targets	Variant OnDeck->microPIR_targets	1	
Variant OnDeck	targetScanS	Variant OnDeck->targetScanS	1	
Variant OnDeck	ESEFinder	Variant OnDeck->ESEFinder	1	
Variant OnDeck	VISTA_enhancer	Variant OnDeck->VISTA_enhancer	1	
Variant OnDeck	alt_splice	Variant OnDeck->alt_splice	1	
Variant OnDeck	cytoBand	Variant OnDeck->cytoBand	1	
Variant OnDeck	dgvMerged	Variant OnDeck->dgvMerged	1	
Variant OnDeck	cosmicdbv68	Variant OnDeck->cosmicdbv68	1	
Variant OnDeck	cosmic70	Variant OnDeck->cosmic70	1	
Variant OnDeck	SomamiR_targets	Variant OnDeck->SomamiR_targets	1	
Variant OnDeck	ljb26_pp2hvar	Variant OnDeck->ljb26_pp2hvar	1	
Variant OnDeck	ljb26_vest	Variant OnDeck->ljb26_vest	1	
Variant OnDeck	ljb26_cadd	Variant OnDeck->ljb26_cadd	1	
Variant OnDeck	nci60	Variant OnDeck->nci60	1	
Variant OnDeck	ljb26_pp2hdiv	Variant OnDeck->ljb26_pp2hdiv	1	
Variant OnDeck	PTM	Variant OnDeck->PTM	1	
Variant OnDeck	ljb26_lrt	Variant OnDeck->ljb26_lrt	1	
Variant OnDeck	ljb26_phylop	Variant OnDeck->ljb26_phylop	1	
Variant OnDeck	ljb26_ma	Variant OnDeck->ljb26_ma	1	
Variant OnDeck	ljb26_fathmm	Variant OnDeck->ljb26_fathmm	1	
Variant OnDeck	ljb26_siphy	Variant OnDeck->ljb26_siphy	1	
Variant OnDeck	ljb26_sift	Variant OnDeck->ljb26_sift	1	
Variant OnDeck	ESP6500si_all	Variant OnDeck->ESP6500si_all	1	
Variant OnDeck	cpgIslandExt	Variant OnDeck->cpgIslandExt	1	
Variant OnDeck	clinvar_20140702	Variant OnDeck->clinvar_20140702	1	
Variant OnDeck	clinvar_20131105	Variant OnDeck->clinvar_20131105	1	
Variant OnDeck	Fantom5_CAGE_peak	Variant OnDeck->Fantom5_CAGE_peak	1	
Variant OnDeck	Fantom5_TSSpredictions	Variant OnDeck->Fantom5_TSSpredictions	1	
Variant OnDeck	Fantom5_enhancers	Variant OnDeck->Fantom5_enhancers	1	
Variant OnDeck	FunSeq	Variant OnDeck->FunSeq	1	
Variant OnDeck	FlankingSequence	Variant OnDeck->FlankingSequence	1	
Variant OnDeck	comments	Variant OnDeck->comments	1	
Variant OnDeck	wgEncodeAwgTfbsUniform	Variant OnDeck->wgEncodeAwgTfbsUniform	1	
Variant OnDeck	wgEncodeDukeMapabilityRegionsExcludable	Variant OnDeck->wgEncodeDukeMapabilityRegionsExcludable	1	
Variant OnDeck	wgEncodeDukeMapabilityUniqueness35bp	Variant OnDeck->wgEncodeDukeMapabilityUniqueness35bp	1	
Variant OnDeck	wgEncodeCrgMapabilityAlign100mer	Variant OnDeck->wgEncodeCrgMapabilityAlign100mer	1	
Variant OnDeck	userdb1	Variant OnDeck->userdb1	1	
Variant OnDeck	userdb2	Variant OnDeck->userdb2	1	
Variant OnDeck	userdb3	Variant OnDeck->userdb3	1	
Variant OnDeck	userdb4	Variant OnDeck->userdb4	1	
Variant OnDeck	userdb5	Variant OnDeck->userdb5	1	
Variant OnDeck	userdb6	Variant OnDeck->userdb6	1	
Variant OnDeck	userdb7	Variant OnDeck->userdb7	1	
Variant OnDeck	userdb8	Variant OnDeck->userdb8	1	
Variant OnDeck	userdb9	Variant OnDeck->userdb9	1	
Variant OnDeck	userdb10	Variant OnDeck->userdb10	1	
Variant ID	ANNOVAR annot	Variant ID->ANNOVAR annot	1	
Variant ID	ANNOVAR annot	Variant ID->Variant OnDeck->ANNOVAR annot	2	0
Variant ID	Annot Feat	Variant ID->Annot Feat	1	
Variant ID	Annot Feat	Variant ID->Variant OnDeck->Annot Feat	2	0
Variant ID	Gene	Variant ID->Gene	1	
Variant ID	Gene	Variant ID->Variant OnDeck->Gene	2	0
Variant ID	Ensembl_ANNOVAR annot	Variant ID->Ensembl_ANNOVAR annot	1	
Variant ID	Ensembl_ANNOVAR annot	Variant ID->Variant OnDeck->Ensembl_ANNOVAR annot	2	0
Variant ID	Ensembl_Annot Feat	Variant ID->Ensembl_Annot Feat	1	
Variant ID	Ensembl_Annot Feat	Variant ID->Variant OnDeck->Ensembl_Annot Feat	2	0
Variant ID	Ensembl_Gene	Variant ID->Ensembl_Gene	1	
Variant ID	Ensembl_Gene	Variant ID->Variant OnDeck->Ensembl_Gene	2	0
Variant ID	Gene Ori	Variant ID->Gene Ori	1	
Variant ID	Gene Ori	Variant ID->Variant OnDeck->Gene Ori	2	0
Variant ID	siftv63	Variant ID->siftv63	1	
Variant ID	siftv63	Variant ID->Variant OnDeck->siftv63	2	0
Variant ID	ljb_pp2	Variant ID->ljb_pp2	1	
Variant ID	ljb_pp2	Variant ID->Variant OnDeck->ljb_pp2	2	0
Variant ID	omimGene	Variant ID->omimGene	1	
Variant ID	omimGene	Variant ID->Variant OnDeck->omimGene	2	0
Variant ID	snp137	Variant ID->snp137	1	
Variant ID	ljb_mt	Variant ID->ljb_mt	1	
Variant ID	hapmap_3_3	Variant ID->hapmap_3_3	1	
