#Database	Source	Version from Source	Short Description of Database Value
GERP++	ANNOVAR	2012Feb22	
Genomic Super Dups	UCSC	hg19	Score and position of genomic duplications using data downloaded from UCSC
CpG Islands	UCSC	hg19	CpG Islands, downloaded from UCSC.  If variant is within a CpG island, the number represents the count of CpGs in the island.
TargetScan Results	UCSC	hg19	The gene target and its miRNA, using UCSC's targetScan 
CHB CGI Population (homozygous)	ABCC; parsed from Complete Genomics	hg19	
TSI CGI Population (homozygous)	ABCC; parsed from Complete Genomics	hg19	
Location of bands seen on Giemsa-stained chromosomes	UCSC	hg19	Location of cytogenic band using UCSC's cytoband  database
MKK CGI Population (homozygous)	ABCC; parsed from Complete Genomics	hg19	
GIH CGI Population (homozygous)	ABCC; parsed from Complete Genomics	hg19	
Gerp++ Elem	ANNOVAR	2012Apr17	
Long intergenic non-coding RNAs (LincRNAs)	Broad Institute	hg19	Long intergenic non-coding RNAs using data from the Broad Institute
Polyphen2 Predictions and Scores	ANNOVAR	2011May11	
GWAS Catalog	UCSC	hg19	Genome Wide Association Studies from UCSC
Database of Genomic Variants	UCSC	hg19	
YRI CGI Population (homozygous)	ABCC; parsed from Complete Genomics	hg19	
CEPH-UTAH CGI Population (homozygous)	ABCC; parsed from Complete Genomics	hg19	
Phast Contrast Elements (46way)	UCSC	hg19	
nonB database	ABCC	hg19	Location of nonB structures from ABCC, FNLCR
COSMIC database	COSMIC	v64 3/2012	
ASW CGI Population (homozygous)	ABCC; parsed from Complete Genomics	hg19	
JPT CGI Population (homozygous)	ABCC; parsed from Complete Genomics	hg19	
All Alt Allele Freq from 1000G Project	ANNOVAR	hg19	Alternative Allele Frequence from 1000G project from ANNOVAR's database
dbSNPv135	dbSNP	135	
Conserved Transcription Factor Binding Sites	UCSC	hg19	Transcription Factor Binding Site using UCSC tfbsConsSites data
PUR CGI Population (homozygous)	ABCC; parsed from Complete Genomics	hg19	
SIFT scores	ANNOVAR	2011Mar01	
snoRNA and miRNA annotations	UCSC	hg19	snoRNA and miRNA annotations using UCSC
Combined Scores for SIFT, PP2, Phylop, LRT, MT and GERP++	ANNOVAR	2012Feb22 	
JCVI SIFT scores 	ANNOVAR	hg19	
Tandem Splice Database (TASS DB)	TASSDB	hg19	Affected gene and donor/acceptor status from TASS DB
Sift predictions and scores	JCVI	v63	Scores and Predictions From SIFT, where smaller values are deleterious, downloaded from JCVI v63
Repeat Masker	ABCC	hg19	Type of Repeat using ABCC, FNLCR's Repeat Masker
Online Mendelian Inheritance in Man	OMIM	hg19	OMIM Identifier; OMIM is a database of genes associated with Mendelian inheritance, downloaded from OMIM
Complete Genomics 69 Genomes	Complete Genomics	hg19	Allele Frequencies from Complete Genomics dataset
MXL CGI Population (homozygous)	ABCC; parsed from Complete Genomics	hg19	
LWK CGI Population (homozygous)	ABCC; parsed from Complete Genomics	hg19	
Whole Exome LRT scores	ANNOVAR	hg19	
CEU CGI Population (homozygous)	ABCC; parsed from Complete Genomics	hg19	
HapMap Allele Frequency	GATK HapMap converted download	3.3	Allele Frequences from HapMap from GATK HapMap database
Prosite Domains	ProSite	June 2012	Location and type of Prosite domains within transcripts, analyzed by ABCC from data downloaded from Prosite
microPIR	microPIR http://www4a.biotec.or.th/micropir	June2012	microPIR miRNA targets within human promoter sequences from microPIR website
Tandem Repeat Finder	Dfam	v1	Tandem repeat Sequence using Dfam
DFam database	Dfam	v1.1	
Lncipedia	Lncipedia	v1.2	Long non-coding RNA names using Lncipedia
VISTA expression patterns in organs	VISTA	2013-01-22	Non coding fragments with enhancer activity from VISTA (in mice) 
Ensembl Alt Splice Events	Ensembl	v63	
ESE Finder Results	ABCC parsed 	ESEFinder v3.0	
miRBase	miRBase	v19	
